,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,Act-Cl13_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Gtf2e2,0.22947112,0.229652,0.23059878,0.07670512,0.07670512,0.13419795,0.27545837,0.27317795,0.26792586,0.19712734,0.18290213,0.21239717,0.22102913,0.21178296,0.26798517,0.20652498,0.21010664,0.1998392,0.184123,0.18625481,0.18056525,0.19681825,0.1827573,0.20055373,0.24234374,0.15688495,0.24431738,0.13034134,0.13099357,0.09598844,0.127591,0.1276229,0.12556244
Cops5,0.1568967,0.15669192,0.15677956,0.1649281,0.1649281,0.09292263,0.36435887,0.36591226,0.29654396,0.24914823,0.26531163,0.23179787,0.36207876,0.35958645,0.37473583,0.28192696,0.28548917,0.2752775,0.2913402,0.29481617,0.28553924,0.20883791,0.22470866,0.20462163,0.1716971,0.21974076,0.17058754,0.15306486,0.15289631,0.16215202,0.14070143,0.14058436,0.24021432
Ssbp3,0.54206675,0.54230887,0.5418717,0.39395398,0.39395398,0.17350246,0.5219297,0.5107496,0.5361289,0.41377467,0.37087262,0.45982718,0.40228716,0.39954248,0.41622582,0.4098621,0.4305224,0.37129617,0.37009484,0.36189783,0.3837746,0.4913837,0.5311631,0.48081574,0.581435,0.38305715,0.5860165,0.36328346,0.36509562,0.24017759,0.3720321,0.3721166,0.2420137
Atf6,0.23092194,0.23117822,0.22762144,0.39959702,0.39959702,0.60639435,3.619445,3.622072,3.0397878,2.5627375,2.5359473,2.5914948,3.028136,3.0356705,2.9898722,3.2697752,3.2701907,3.2689998,3.046073,2.9978452,3.1265595,2.373922,2.287132,2.396979,2.6668031,3.329373,2.6515012,2.7694418,2.7674217,2.8400939,1.9529922,1.9530622,2.0122583
Mxd1,0.15398952,0.15398072,0.1521162,0.5587316,0.5587316,0.22385904,0.17968836,0.17148928,0.26040217,0.3842183,0.38151574,0.38711935,0.3308795,0.3266118,0.35255277,0.29109547,0.2826358,0.3068868,0.47606486,0.4309313,0.55138713,0.4255708,0.4303015,0.424314,0.77069867,0.55403996,0.77570236,0.64592826,0.6443774,0.71629965,0.4574628,0.45679167,0.6366021
Hdgf,0.004304703,0.0043094805,0.0041630445,0.012732294,0.012732294,0.0,0.025387796,0.025305737,0.02081603,0.019754095,0.018881151,0.020691143,0.01637492,0.016304476,0.016732661,0.027198905,0.02789528,0.025899006,0.014224781,0.014453762,0.01384264,0.006506372,0.008133614,0.0060740714,0.008981449,0.012211243,0.008906858,0.0076441416,0.0077136788,0.0029415071,0.0017961153,0.0017998808,0.0
Cd46,0.39236435,0.39251715,0.39193824,0.27229872,0.27229872,0.18213119,0.07657001,0.07480678,0.12958132,0.07972197,0.07849269,0.08104152,0.066333696,0.06511712,0.072512016,0.04158149,0.036553692,0.05096671,0.064130574,0.057783667,0.07472276,0.08610105,0.08418439,0.086610235,0.17504251,0.075633876,0.17733832,0.12438682,0.1250586,0.07926127,0.1251848,0.12515569,0.092712104
Rsf1,1.3676399,1.3680816,1.3682188,1.2245039,1.2245039,1.155384,0.9696447,0.96175987,1.0754652,1.0822926,1.0598036,1.1064332,0.98090404,0.9705322,1.033577,0.98492,1.0015796,0.9538222,1.0798184,1.0706775,1.0950732,1.1997393,1.2213111,1.1940086,1.2493017,1.2601125,1.2490519,1.4045275,1.4060757,1.3008082,1.6420431,1.6429973,1.3243296
Tnfrsf25,0.0043347124,0.0043395236,0.0043668514,0.00029555202,0.00029555202,0.0,0.0021624328,0.0020907172,0.0022261103,0.0039557326,0.0005487165,0.00761294,0.002140082,0.0009088787,0.008392664,0.0015771454,0.0015613785,0.001606577,0.0030514488,0.0017381366,0.0052432017,0.015000152,0.017726608,0.014275831,0.00525875,0.0,0.0053801993,0.012668349,0.012799557,0.0038873858,0.013814903,0.013843865,0.0
Ctcf,0.6727937,0.67309445,0.67181444,0.49212506,0.49212506,0.5050756,0.8648913,0.8652941,0.7882692,0.90173936,0.89765936,0.9061189,0.84499365,0.8275701,0.93347806,0.91622037,0.90892535,0.9298377,0.62474376,0.61869335,0.6348412,0.57775223,0.6161202,0.5675592,0.47202367,0.57853794,0.46956375,0.48874635,0.48675442,0.6279125,0.4521729,0.45195818,0.54916835
Chd6,1.1612618,1.1613463,1.1612777,1.1782855,1.1782855,1.2049446,0.5380758,0.54002506,0.667704,0.5841986,0.5510618,0.6197688,0.5595685,0.54753846,0.6206626,0.48454177,0.47521397,0.50195366,0.5355571,0.5010914,0.593076,0.81124884,0.8004396,0.8141205,0.632212,0.74321955,0.62964827,0.7132304,0.7120753,0.7822774,0.87181926,0.8716781,0.9936873
Phf2,0.284346,0.2843054,0.2846466,0.21521175,0.21521175,0.15251927,0.15460697,0.15609199,0.14083837,0.08242023,0.08317008,0.08161532,0.102085344,0.11051314,0.05928538,0.12513292,0.13043681,0.11523231,0.1304466,0.14358003,0.10852854,0.12918372,0.1230862,0.13080361,0.12743275,0.117469415,0.12766284,0.1592749,0.16055636,0.0810959,0.17689677,0.17702757,0.1054301
Ssb,0.67237866,0.6727093,0.67092305,0.99621135,0.99621135,0.639447,1.2892293,1.300456,1.0851642,1.0808802,1.1480067,1.0088242,1.1854132,1.1962867,1.1301935,1.2365823,1.262956,1.1873515,1.1525428,1.2112963,1.0544907,1.0392524,1.1264973,1.0160745,0.6999404,1.0308869,0.6922973,1.0057476,1.0045096,1.0636494,0.9996623,0.99916625,1.1474749
Zscan21,0.14731875,0.14730991,0.14742558,0.13091756,0.13091756,0.060486447,0.11742483,0.116517976,0.12944318,0.1526732,0.13561521,0.17098382,0.15376157,0.14892441,0.17832676,0.11710275,0.118146926,0.115153626,0.135847,0.11534603,0.17006055,0.1482639,0.13986965,0.15049395,0.18416451,0.1462735,0.1850396,0.12574683,0.12551291,0.14327951,0.14834951,0.14833125,0.19932537
Stat5a,0.21042374,0.21046235,0.2081301,0.48046273,0.48046273,0.28000522,0.64914936,0.63929176,0.64972246,0.66449934,0.52637947,0.81276196,0.74185055,0.7053717,0.9271062,0.82888645,0.72292,1.0266905,0.8158416,0.7012605,1.0070632,1.3300412,1.0616612,1.4013401,0.33372688,0.5342064,0.32909685,0.5174405,0.50849295,1.0575199,0.3424195,0.3423164,0.33474076
Zbtb10,0.08922729,0.08926122,0.088945694,0.33683318,0.33683318,0.19306871,0.019921754,0.02094913,0.057408627,0.007985815,0.007819684,0.008164146,0.013757251,0.015583795,0.0044812774,0.009315278,0.008819972,0.010239849,0.007598968,0.0055751284,0.010976502,0.03163923,0.048837524,0.027070258,0.004274332,0.0054410114,0.004247388,0.006241636,0.006060412,0.017120393,0.00026264042,0.00026319103,0.0
Dek,0.27497256,0.2750795,0.273883,0.33392587,0.33392587,0.29750425,1.1346395,1.139909,0.9351586,0.81373143,0.8132165,0.8142842,0.90713155,0.924585,0.8184957,1.0689673,1.0564201,1.0923889,0.814614,0.8810105,0.70380664,0.50204176,0.55802095,0.48717007,0.38397717,0.33194733,0.38517877,0.40064532,0.40072,0.3962559,0.39443263,0.39442018,0.4411411
Pnn,0.018203879,0.018224083,0.018157367,0.03978251,0.03978251,0.047305122,0.085101746,0.08712649,0.060420025,0.054834303,0.06255909,0.04654225,0.07563029,0.078934655,0.05884931,0.08332285,0.08980403,0.07122466,0.07842607,0.084114164,0.06893336,0.037488297,0.04312441,0.03599098,0.048611607,0.06893961,0.04814214,0.036128346,0.035948604,0.04691601,0.04079822,0.040842146,0.031832315
Zfp213,0.053995065,0.053871125,0.05402235,0.060465395,0.060465395,0.04649261,0.09539909,0.09790805,0.06393124,0.06937459,0.06932906,0.069423474,0.08863025,0.089262135,0.08542126,0.07821967,0.07880213,0.077132404,0.08924975,0.10565652,0.06186891,0.054970644,0.065935895,0.05205757,0.062099688,0.047670912,0.06243292,0.043574754,0.043472342,0.047614723,0.024162889,0.023787173,0.13558604
Kntc1,0.011891841,0.01190504,0.011223332,0.05291047,0.05291047,0.0,0.73575497,0.7287253,0.63582313,0.4099642,0.38353556,0.43833363,0.46943733,0.47464538,0.4429886,0.6821611,0.6816892,0.683042,0.3368731,0.39315933,0.24293855,0.13512126,0.17685015,0.12403539,0.20249532,0.08188275,0.20528083,0.031303868,0.030730847,0.0736494,0.022940153,0.022941748,0.014786451
Hbp1,0.26711047,0.26679164,0.26642096,0.510652,0.510652,0.27494648,0.18742931,0.18951732,0.17538844,0.21632211,0.22330636,0.20882499,0.20465276,0.20153439,0.22048916,0.18362214,0.17354518,0.20243244,0.27069196,0.26797476,0.27522665,0.3463836,0.31794733,0.3539381,0.25700665,0.27932322,0.25649124,0.29305854,0.29243994,0.34074947,0.2277272,0.22751686,0.33100274
Tnf,0.14597602,0.14613804,0.14657778,0.1321475,0.1321475,0.24351132,0.26962617,0.28168815,0.18427537,0.13680221,0.1973739,0.071782514,0.20822793,0.23434663,0.075585924,0.19779028,0.24956287,0.10114812,0.17838433,0.22802396,0.095542036,0.097155385,0.11709166,0.09185903,0.054690614,0.07681307,0.054179702,0.13343698,0.1336184,0.11519381,0.048608206,0.0486457,0.02048203
Klra9,0.0,0.0,0.0,0.002364972,0.002364972,0.0,6.4872474e-05,7.226143e-05,0.0,0.00045432863,0.00084929314,3.0360208e-05,0.0027358795,0.0032746047,0.0,0.00019478613,0.00029913583,0.0,0.0011038479,0.0014439436,0.00053627085,0.0031839588,0.010897573,0.0011347278,0.00026144047,0.008336998,7.4937976e-05,0.002205476,0.002239262,0.0,0.0045642895,0.004573858,0.0
Lmo4,0.03314611,0.0331829,0.03335599,0.008671197,0.008671197,0.046591416,0.03448056,0.03568344,0.028161302,0.0161001,0.021332497,0.010483466,0.027193977,0.028458416,0.020772614,0.021020995,0.022581464,0.01810812,0.012591544,0.013170218,0.011625809,0.01434917,0.011863685,0.015009474,0.0040855305,0.008336998,0.0039873444,0.0038903707,0.0038820978,0.0041972385,0.0020359831,0.0020402514,0.0
Srrm1,0.84457576,0.8445526,0.84283817,1.336115,1.336115,0.9384521,1.8906066,1.8842607,1.7378631,1.4520781,1.4740844,1.428456,1.6339219,1.6540745,1.5315777,1.7394767,1.7548435,1.710792,1.5660081,1.6151954,1.4839206,1.2588346,1.279981,1.2532167,1.1008934,1.1092767,1.1006998,1.1976244,1.1970565,1.246038,1.1774124,1.1775899,1.0341967
Bard1,0.03445249,0.034490727,0.033755545,0.025478423,0.025478423,0.0,0.77857834,0.77915466,0.61905825,0.6321914,0.6041911,0.6622479,0.6300698,0.6289657,0.635677,0.7849632,0.7726786,0.80789435,0.36498868,0.41512352,0.28131995,0.16050328,0.17225789,0.1573805,0.2708937,0.12943013,0.27416074,0.055600546,0.05528411,0.07381705,0.06786393,0.06775571,0.079655714
Zdhhc2,0.038199503,0.038152114,0.03787662,0.069496125,0.069496125,0.09648182,0.59726375,0.5859598,0.571377,0.35737854,0.34342447,0.3723573,0.4042581,0.40031743,0.42427054,0.61840034,0.620273,0.6149047,0.52978694,0.55007553,0.4959279,0.41959453,0.35510662,0.43672663,0.5914845,0.37962914,0.5963772,0.34928355,0.3491776,0.3549403,0.29311606,0.29304418,0.2890482
Aff1,1.1411586,1.1411464,1.1361449,2.211095,2.211095,1.4876324,0.7052811,0.71109223,0.77002263,0.89121526,0.8220692,0.96543896,0.87074405,0.8694157,0.8774899,0.77315223,0.73058766,0.85260606,0.93045145,0.9222252,0.94418,1.3288146,1.472083,1.2907534,0.8191144,1.1669194,0.81108195,1.3629723,1.3612185,1.4460531,1.3122847,1.3130893,0.844882
Zdhhc9,0.07256575,0.07251666,0.0726441,0.12762539,0.12762539,0.029035665,0.04247761,0.04371873,0.026687931,0.040981453,0.03619857,0.04611556,0.04290162,0.042845696,0.043185625,0.033249334,0.032860655,0.03397487,0.048868235,0.046939965,0.052086275,0.061006606,0.04081189,0.06637162,0.070020616,0.04883663,0.07050985,0.06016825,0.060019948,0.07160928,0.08117473,0.08117131,0.10703199
L1cam,0.21241501,0.21192975,0.21375845,0.05816658,0.05816658,0.22837068,0.028720675,0.02962438,0.054273356,0.037721213,0.02928852,0.046773154,0.026264826,0.025537325,0.02995938,0.014452713,0.013559217,0.016120572,0.035030562,0.029335849,0.04453432,0.025561966,0.035312768,0.022971526,0.13466644,0.07725057,0.13599244,0.10121758,0.10193053,0.054258004,0.12880906,0.12896322,0.03685194
Zfp282,0.17023386,0.17028724,0.1704166,0.06682456,0.06682456,0.07673973,0.10917976,0.10609109,0.13172476,0.07754838,0.06743837,0.0884008,0.090986334,0.09275204,0.08201929,0.08304787,0.08340121,0.0823883,0.101123564,0.096230276,0.109289855,0.10290444,0.10021506,0.10361891,0.10902104,0.07881756,0.109718576,0.11641615,0.11692743,0.086096704,0.13606547,0.13608195,0.1821639
Apex1,0.021212261,0.021184484,0.02127364,0.017932976,0.017932976,0.015294557,0.08206214,0.081324585,0.07515213,0.016750082,0.017584065,0.01585486,0.036270536,0.03591541,0.03807403,0.05844272,0.053453103,0.067756675,0.022555199,0.021684585,0.024008142,0.036978107,0.039730154,0.036246985,0.00832261,0.0,0.008514818,0.01009977,0.010178811,0.004680129,0.0055462373,0.0054276907,0.041395362
Ddb1,0.1031894,0.103245355,0.10316905,0.15491435,0.15491435,0.08218846,0.13543394,0.13904099,0.10197358,0.103829764,0.10926188,0.09799874,0.12399722,0.124471895,0.121586606,0.11271978,0.12367652,0.092267185,0.14806826,0.15844348,0.13075334,0.09565988,0.101880014,0.09400742,0.0734101,0.08787762,0.07307598,0.09940872,0.09965423,0.08579268,0.059643254,0.05968405,0.068926625
Pou2af1,0.022332478,0.022357265,0.022474594,0.030242428,0.030242428,0.0,0.032472085,0.03254433,0.025384177,0.023571383,0.028776854,0.017983653,0.03403359,0.03588625,0.02462498,0.030430906,0.032654736,0.026279755,0.020335946,0.02084796,0.01948146,0.032554746,0.04437678,0.029414056,0.0021519782,0.009395351,0.0019846947,0.002018529,0.0018871989,0.010034012,0.0070613166,0.0070761205,0.0
Nsd2,0.1386904,0.13876261,0.13634038,0.21212,0.21212,0.24756277,1.7017088,1.6843975,1.5345247,1.215435,1.1052402,1.3337219,1.1322615,1.1492049,1.0462161,1.7131264,1.7211016,1.6982392,0.9797296,1.1188887,0.74749047,0.6735248,0.70917666,0.6640534,0.8915635,0.654102,0.8970476,0.5159314,0.51611716,0.50860816,0.5595758,0.5598634,0.46253642
Cd180,0.007681366,0.0076898914,0.007696518,0.00022219338,0.00022219338,0.0,0.015192373,0.013935448,0.021497972,0.0056290007,0.0051860083,0.0061045242,0.01633132,0.014957021,0.023310611,0.0038092814,0.0031782347,0.0049872356,0.0037600547,0.003392217,0.00437393,0.012653851,0.0055084755,0.014552121,0.0053250827,0.0,0.005448064,0.0100134155,0.009896624,0.016709037,0.002785977,0.0027918175,0.0
Il2ra,0.060166188,0.060232963,0.059349403,0.07771862,0.07771862,0.45823374,1.640261,1.650132,1.2778333,0.8576297,0.883489,0.8298714,1.2807571,1.240574,1.4848238,1.1628015,1.1352168,1.2142929,1.1786878,1.1610312,1.2081543,0.2955564,0.23499781,0.31164464,0.46644315,0.5933965,0.4635112,0.3356504,0.32676446,0.8729203,0.17487766,0.17473564,0.20667219
Stat6,0.18196222,0.182017,0.18190056,0.15176646,0.15176646,0.2737604,0.08066613,0.08225558,0.0960885,0.09797675,0.09187541,0.10452615,0.08051184,0.07882658,0.089070305,0.07915561,0.077061415,0.08306477,0.07166938,0.060962856,0.08953721,0.110525504,0.11089142,0.110428296,0.11655833,0.109009184,0.11673267,0.11280164,0.112752154,0.11782584,0.13240023,0.1324539,0.11364992
Brwd3,0.30251437,0.30270743,0.301402,0.2974522,0.2974522,0.3118115,0.2909926,0.28946823,0.31474084,0.26235506,0.27388287,0.2499807,0.2755662,0.27463233,0.28030872,0.29385257,0.30370358,0.275464,0.32970017,0.33286574,0.32441723,0.37381175,0.33338568,0.3845515,0.31882268,0.3583294,0.31791028,0.35930297,0.35997117,0.33629322,0.3328841,0.33296186,0.34573352
Zfp606,0.042980593,0.043028295,0.043325365,0.008338504,0.008338504,0.0,0.031721074,0.03192372,0.023872614,0.019099949,0.019227294,0.01896325,0.01928587,0.019646963,0.017452085,0.02011011,0.022434417,0.015771406,0.019375674,0.017232012,0.022953175,0.018756252,0.020367142,0.018328296,0.027328454,0.010534727,0.0277163,0.013763511,0.013629577,0.021321839,0.018128514,0.018166518,0.0
Gatad2a,1.1077722,1.1078937,1.1102657,0.7966163,0.7966163,1.0494397,1.5049837,1.4973792,1.5161002,1.5087775,1.4761108,1.5438429,1.4905536,1.4545679,1.6733049,1.6174964,1.6021641,1.6461165,1.5447614,1.5055543,1.610193,1.2837363,1.2204653,1.3005452,1.5789896,1.6116765,1.5782347,1.2816404,1.27639,1.6202067,1.2668911,1.2668571,1.1591489
Hells,0.10331685,0.10303906,0.102660015,0.058276128,0.058276128,0.13349243,1.7580335,1.7364999,1.571002,0.7008157,0.7107291,0.6901743,1.0864244,1.1085064,0.9742823,1.4512451,1.4460971,1.4608544,1.0583134,1.1840107,0.84854037,0.42751804,0.4669106,0.41705284,0.5148844,0.33162665,0.5191167,0.1498728,0.14859508,0.23003568,0.14202674,0.14217469,0.13315864
Nmi,0.6320968,0.63229495,0.633106,0.37634674,0.37634674,0.4163105,0.28255022,0.27905816,0.36043346,0.39374876,0.36581463,0.42373425,0.35980675,0.3521681,0.39859912,0.31311923,0.30130714,0.3351685,0.4236007,0.39330882,0.474154,0.40194538,0.34496075,0.41708416,0.55241513,0.5969055,0.5513876,0.4740457,0.47302145,0.5251004,0.48522392,0.4852176,0.54265934
Ccr9,0.3392602,0.33963674,0.34137335,0.095862575,0.095862575,0.0,0.10364963,0.10049738,0.106897,0.09483584,0.07757621,0.11336291,0.08743347,0.084307045,0.10331084,0.10606234,0.10274929,0.11224671,0.110663265,0.09826405,0.13135599,0.035575286,0.036479548,0.035335056,0.22095184,0.13578898,0.22291866,0.039801348,0.03962349,0.051913083,0.030058127,0.03000033,0.0629385
Pdcd11,0.19177179,0.19160497,0.191101,0.13854802,0.13854802,0.08016656,0.25387615,0.25188774,0.22706693,0.13602343,0.13748346,0.13445617,0.20840855,0.20765342,0.21224341,0.20732959,0.20463419,0.21236101,0.21412748,0.19725768,0.24228103,0.19073945,0.17978978,0.1936484,0.16228531,0.22505188,0.16083573,0.13808994,0.13773057,0.16529818,0.11801718,0.118125714,0.092600465
Itgal,0.5179842,0.51795787,0.5174509,0.4085212,0.4085212,0.5923966,0.5112794,0.5089202,0.5640438,0.6722587,0.6762536,0.66797036,0.58214766,0.5952052,0.5158358,0.6156728,0.6421495,0.5662498,0.83248186,0.8280319,0.8399083,0.77340525,0.73116934,0.7846258,1.4169221,1.4371165,1.4164556,1.4059565,1.4110544,1.0960997,1.9936067,1.9944342,1.9151284
Ncoa5,0.3173302,0.31741923,0.31918272,0.24481061,0.24481061,0.4434204,0.2985761,0.2996097,0.32197252,0.1962605,0.16822891,0.22635056,0.22517227,0.22068799,0.24794538,0.20177147,0.20229885,0.200787,0.19671045,0.18979281,0.20825513,0.18045877,0.19408214,0.17683953,0.30691424,0.12217521,0.31118074,0.1929381,0.19319922,0.193721,0.2947063,0.29477054,0.23206215
Ly6e,0.08454713,0.08453112,0.083567224,0.11683899,0.11683899,0.074249506,0.11841169,0.11768502,0.12811163,0.12700626,0.12783107,0.12612087,0.112553515,0.11130124,0.118913084,0.08509885,0.07779638,0.09873014,0.16615047,0.14862959,0.19539061,0.14181665,0.15577245,0.1381091,0.081312746,0.04834505,0.08207412,0.07316168,0.07279963,0.09170089,0.030472599,0.030357549,0.05690111
Zfp248,0.04238494,0.042129297,0.042288464,0.018654443,0.018654443,0.016893039,0.060557984,0.059186082,0.067748055,0.023924796,0.021718115,0.026293524,0.031056369,0.0288396,0.04231408,0.030559884,0.029431038,0.032667067,0.029310886,0.025505412,0.035661742,0.05284415,0.0404095,0.05614759,0.03634847,0.015582444,0.036828052,0.016244369,0.016332038,0.015122707,0.012448495,0.01236408,0.03514285
Hdac3,0.044162266,0.04421128,0.044347353,0.033943668,0.033943668,0.078509025,0.055796087,0.05625196,0.073543444,0.042267,0.04324337,0.041218925,0.047399815,0.046618972,0.051365286,0.046276312,0.047166742,0.04461417,0.048131254,0.04928714,0.04620222,0.026025688,0.031676766,0.0245244,0.021308146,0.019149153,0.021358008,0.020974267,0.020963302,0.024596779,0.03282391,0.03283332,0.053828564
Atad2,0.2759064,0.27600437,0.273616,0.81520545,0.81520545,0.17139661,1.8974862,1.9060017,1.5075678,1.034659,1.172666,0.8865176,1.2752461,1.3425041,0.9336806,1.9546115,2.0734215,1.7328331,1.1477778,1.313678,0.87091136,0.7050687,0.9012699,0.6529451,0.48032758,0.5189139,0.47943646,0.60532665,0.6072069,0.4762019,0.5551955,0.55520076,0.51419127
Ilf2,0.11098788,0.11103117,0.11095377,0.15430392,0.15430392,0.11344796,0.23923221,0.23827891,0.2331127,0.22941563,0.24653849,0.21103536,0.24014397,0.2466579,0.20706348,0.28042784,0.2971004,0.24930578,0.20068933,0.21282262,0.18044041,0.16552682,0.17545888,0.16288823,0.09470896,0.12517707,0.09400531,0.12289642,0.12238545,0.15534432,0.11593398,0.116005726,0.08923342
Sla2,0.53631127,0.53619564,0.5376724,0.337541,0.337541,0.21365666,0.29835775,0.30447903,0.25624508,0.4552761,0.4764198,0.43257976,0.48998058,0.49529615,0.46298575,0.46865365,0.46504042,0.47539833,0.5791242,0.58326733,0.57220984,0.22658515,0.23749131,0.22368777,0.44606042,0.4811541,0.44524994,0.3442866,0.34155667,0.5254765,0.4376014,0.43747213,0.4174557
Fbxo17,0.07837716,0.07831862,0.07856886,0.008137578,0.008137578,0.021275122,0.01799618,0.016834585,0.037409317,0.010327586,0.012324946,0.008183553,0.010489081,0.008742501,0.019358963,0.0026172902,0.0032697758,0.0013993172,0.0061791646,0.007298584,0.004310994,0.015339459,0.0055112327,0.017950468,0.011425689,0.029312426,0.0110126,0.006117467,0.006211181,0.0,0.002465262,0.0024704305,0.0
Chd2,3.4258134,3.4263144,3.413031,6.0143576,6.0143576,3.7516694,3.948711,3.9943168,3.4830668,5.4220886,5.534611,5.301303,5.1865883,5.167013,5.2859993,4.5042777,4.553194,4.412967,4.885454,4.748541,5.1139455,5.7815676,5.932954,5.7413497,2.3417902,3.8624427,2.3066711,4.1374245,4.122141,4.952312,2.9754412,2.973261,3.281164
Lamp2,0.17389563,0.17387936,0.17349635,0.2645881,0.2645881,0.101768315,0.160508,0.15770133,0.17421605,0.21137133,0.21874693,0.2034541,0.20531778,0.2083692,0.18982133,0.20097792,0.20893247,0.18612944,0.21416967,0.2160882,0.21096785,0.26158735,0.2727995,0.2586087,0.32947075,0.35524327,0.32887554,0.30707625,0.30745435,0.2772891,0.21161532,0.21126983,0.2946976
Kdm6b,0.65859944,0.65841705,0.65966654,1.0507259,1.0507259,0.58961827,0.4897037,0.49999335,0.46905065,0.5906809,0.5943831,0.5867068,0.5377142,0.5420433,0.515729,0.5435159,0.53481764,0.5597527,0.542438,0.5016823,0.6104541,0.74234635,0.83045495,0.71893907,0.38755158,0.40526098,0.3871426,0.89562833,0.89904195,0.65885335,1.1220213,1.122293,0.86724174
Itga1,0.0042712106,0.0042759515,0.0043050153,0.011044242,0.011044242,0.10638535,0.08756573,0.08892874,0.11627912,0.24732351,0.24894378,0.24558426,0.13347249,0.1350205,0.12561108,0.12602329,0.13004033,0.11852481,0.16601376,0.14744388,0.19700459,0.08375026,0.15871853,0.063833885,0.470908,0.32484278,0.4742813,0.73390955,0.7383177,0.4399757,0.5024382,0.5026744,0.3731323
Il10ra,0.035080668,0.035046328,0.034713395,0.11446791,0.11446791,0.14841184,0.25171983,0.2465121,0.2911402,0.47204605,0.49638924,0.44591522,0.38085538,0.38810614,0.34403282,0.33257088,0.32982308,0.3377001,0.4434549,0.45806128,0.4190787,0.33097064,0.29579836,0.3403147,0.75226754,0.80572706,0.7510329,0.32542053,0.3247929,0.37715942,0.37981993,0.37965575,0.40487894
Chd3,0.19918978,0.19920613,0.19871783,0.13302253,0.13302253,0.17831114,0.04822943,0.048574943,0.058829542,0.060368706,0.058078468,0.062827125,0.066424586,0.06778902,0.05949542,0.040472746,0.040833287,0.039799735,0.06247797,0.06250189,0.06243805,0.11008546,0.11759118,0.10809146,0.06927024,0.081653126,0.068984255,0.07339831,0.073720045,0.07416507,0.13508959,0.13526241,0.14274985
Mybl1,0.005639475,0.005645734,0.0055366303,0.005031139,0.005031139,0.0,0.05915168,0.06078712,0.035713412,0.0818644,0.058273852,0.10718731,0.04808821,0.04785719,0.049261436,0.0762204,0.07664057,0.0754361,0.039765593,0.048753623,0.024765708,0.021300599,0.02122218,0.02132143,0.018704766,0.003498077,0.019055959,0.013038358,0.013113521,0.0077038594,0.010837119,0.010859839,0.0
Hmga1,0.014491609,0.014507693,0.014509519,0.01097274,0.01097274,0.0,0.04363675,0.044598963,0.029293967,0.013106717,0.015422619,0.010620749,0.025106339,0.025558693,0.022809085,0.019233286,0.020600213,0.016681692,0.015903316,0.017637582,0.013009044,0.008471248,0.013763432,0.0070653036,0.0054653743,0.012925932,0.0052930755,0.0074769235,0.0074788067,0.0069669294,0.009919636,0.009940432,0.0
Taf3,1.0133848,1.0139978,1.0148108,0.81567514,0.81567514,0.69373786,0.8609217,0.8474975,0.9185201,0.5709452,0.5842678,0.55664426,0.65145993,0.6667802,0.57365716,0.7484837,0.7781627,0.69308287,0.71191686,0.73109967,0.6799031,0.5097032,0.55947363,0.49648097,0.84805816,0.62271154,0.8532624,0.6926666,0.69546574,0.52414125,0.6551954,0.6559847,0.41283223
Sirpa,0.00048048227,0.00048101557,0.0004869607,0.0,0.0,0.0,0.01107929,0.0096579455,0.020749295,0.0016174178,0.0016129015,0.0016222659,0.012956664,0.012164237,0.016980952,0.0015087582,0.002227732,0.00016667382,0.0018402784,0.0019460603,0.0016637417,0.0042904266,0.0036837999,0.0044515855,0.0022104022,0.0,0.0022614507,0.0017658646,0.0017929161,0.0,0.0013654635,0.0012826642,0.027240463
Id3,0.25056985,0.2503794,0.25112993,0.097750075,0.097750075,0.23751172,0.046461433,0.04415233,0.09597523,0.02588588,0.01318416,0.039520342,0.024477176,0.023401,0.029942466,0.029992685,0.028535662,0.03271246,0.017115057,0.015766513,0.019365607,0.26338246,0.21762429,0.2755388,0.002828823,0.002381568,0.002839152,0.0075305398,0.007355643,0.017950188,0.00023225458,0.00023274148,0.0
Zfp131,0.32796222,0.32785589,0.32831153,0.3033394,0.3033394,0.19303888,0.3132087,0.310569,0.30446312,0.3201841,0.31878167,0.3216895,0.33674845,0.33588907,0.34111285,0.31299874,0.3056647,0.32668898,0.33566433,0.3302698,0.3446671,0.2893203,0.28991184,0.28916314,0.22512534,0.3413183,0.22244191,0.32173914,0.32286716,0.25209948,0.32756746,0.3274875,0.40150794
Cd37,0.13001046,0.12988983,0.13050021,0.08471111,0.08471111,0.15645573,0.044100355,0.04434268,0.05047778,0.05741,0.053666867,0.06142801,0.056710117,0.05838874,0.04818535,0.059158586,0.05962474,0.05828844,0.06724982,0.060378417,0.07871733,0.083907925,0.06349237,0.089331605,0.13996904,0.14806992,0.13978194,0.110914424,0.110924296,0.10896456,0.1592729,0.15917353,0.18876454
