gene_name,KO_48h-KO_NAV,KO_48h-WT_48h,KO_48h-WT_NAV,KO_DP-KO_NAV,KO_DP-WT_DP,KO_DP-WT_NAV,KO_EE-KO_NAV,KO_EE-WT_EE,KO_EE-WT_NAV,KO_MP-KO_NAV,KO_MP-WT_MP,KO_MP-WT_NAV,KO_NAV-WT_NAV,KO_TE-KO_NAV,KO_TE-WT_NAV,KO_TE-WT_TE,WT_48h-WT_NAV,WT_DP-WT_NAV,WT_EE-WT_NAV,WT_MP-WT_NAV,WT_MP-WT_TE,WT_TE-WT_NAV
Actn1,0.0,0.907,0.0,0.0,0.777,0.0,0.0,1.0,0.0,0.0,0.861,0.0,0.846,0.0,0.0,0.849,0.0,0.0,0.0,0.0,0.473,0.0
Gm5210,,,,,,,,,,1.0,,,,,,,,,,,,
Gm13668,,,,,,,,,,1.0,,,,,,,,,,,,
Cdh10,0.819,1.0,0.842,0.348,,0.364,0.123,1.0,0.123,0.885,,0.529,,0.018,0.017,,0.998,0.087,0.376,0.577,,0.294
Xdh,0.24,1.0,0.041,0.0,0.617,0.0,0.0,1.0,0.0,0.0,0.89,0.0,0.609,0.0,0.0,0.475,0.004,0.0,0.0,0.0,0.377,0.0
Olfr826,,,,,,,,,,1.0,,,,,,,,,,,,
Gm1758,,,,,,,,,,,,,,,,,,,,,,
Gm17349,0.009,,0.001,0.043,,0.004,0.083,,0.01,0.443,,0.046,,0.394,0.096,,0.011,0.142,0.204,0.036,,0.004
Rpl38,0.176,1.0,0.0,0.001,0.736,0.456,0.0,0.953,0.217,0.003,0.675,0.516,0.054,0.0,0.065,0.742,0.0,0.677,0.954,0.485,0.122,0.471
Gm15176,,,,,,,,,,,,,,,,,,,,,,
Ncbp2,0.822,0.894,0.009,0.0,0.927,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.063,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.857,0.0
Gm13036,,,,,,,,,,1.0,,,,,,,,,,,,
Chst12,0.841,1.0,0.46,0.0,0.841,0.0,0.0,1.0,0.0,0.0,0.815,0.0,0.708,0.0,0.0,0.429,0.339,0.0,0.0,0.0,0.752,0.0
Naa38,0.673,0.818,0.062,0.264,0.98,0.0,0.689,0.983,0.002,0.616,0.974,0.0,0.037,0.798,0.003,0.746,0.0,0.0,0.0,0.0,1.0,0.0
Lifr,0.384,1.0,0.58,0.42,0.668,0.235,0.058,0.915,0.019,0.637,0.831,0.184,,0.064,0.021,,0.308,0.851,0.387,0.813,0.983,0.849
Olfr1047,,,,,,0.891,,,,1.0,,,,,,,,,,,,
Plod2,0.0,1.0,0.0,0.004,0.793,0.009,0.001,0.71,0.003,0.02,0.964,0.022,0.848,0.429,0.6,0.831,0.0,0.177,0.275,0.006,0.406,0.199
Cilp2,,,,,,,,,,1.0,,,,,,,,,,,,
Ropn1l,0.309,1.0,0.009,0.0,0.8,0.0,0.699,0.016,0.063,0.006,0.972,0.0,,0.005,0.0,0.949,0.048,0.0,0.0,0.0,0.767,0.0
Gm5867,,,,,,,,,,1.0,,,,,,,,,,,,
Kpna6,0.0,0.8,0.001,0.559,0.822,0.7,0.201,1.0,0.842,1.0,0.897,0.565,0.386,0.35,0.959,0.886,0.173,0.671,0.809,0.921,0.869,0.678
Cog5,0.064,1.0,0.496,0.095,0.989,0.565,0.033,0.876,0.312,0.246,0.997,0.654,0.422,0.113,0.595,0.915,0.868,0.516,0.8,0.701,0.788,0.323
H2-Q10,0.0,0.0,0.0,0.0,0.974,0.0,0.0,1.0,0.0,0.0,0.998,0.0,0.982,0.0,0.0,0.907,0.21,0.0,0.0,0.0,0.828,0.0
Gm4498,,,,,,,,,,1.0,,,,,,,,,,,,
Gbp11,0.024,1.0,0.166,0.0,0.896,0.001,0.0,1.0,0.0,0.008,0.997,0.04,,0.0,0.0,1.0,0.645,0.009,0.0,0.037,0.059,0.0
Gm44609,0.844,1.0,0.467,0.474,,0.843,0.175,1.0,0.419,1.0,,0.926,,0.551,0.908,,0.671,0.804,0.574,0.794,,0.735
Xpnpep3,0.48,1.0,0.838,0.953,0.988,0.689,0.319,0.494,0.096,1.0,0.949,0.772,0.71,0.794,0.4,0.853,0.962,0.768,0.802,0.463,0.761,0.875
Tm6sf2,0.802,1.0,0.779,0.161,0.927,0.149,0.723,0.992,0.692,0.765,0.996,0.406,,0.1,0.084,0.629,0.784,0.394,0.16,0.476,0.892,0.723
Gm4775,,,,,,,,,,1.0,,,,,,,,,,,,
Rab29,0.004,1.0,0.183,0.0,0.927,0.0,0.0,1.0,0.0,0.0,0.909,0.0,0.298,0.0,0.0,0.993,0.436,0.0,0.0,0.0,0.941,0.0
Sez6l2,0.224,1.0,0.567,0.002,0.875,0.014,0.017,1.0,0.085,0.003,0.883,0.013,,0.006,0.035,,0.769,0.126,0.374,0.128,0.799,0.029
Clec7a,0.794,1.0,0.614,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.997,0.0,0.889,0.0,0.0,0.904,1.0,0.0,0.0,0.0,0.018,0.0
Gm2328,,,,,,,,,,1.0,,,,,,,,,,,,
Pam,0.132,1.0,0.099,0.001,0.891,0.001,0.066,1.0,0.044,0.003,0.869,0.001,0.957,0.007,0.004,0.847,0.159,0.01,0.02,0.019,0.927,0.043
Elp3,0.384,1.0,0.691,0.658,0.261,0.342,0.045,1.0,0.008,0.052,0.842,0.005,0.747,0.339,0.123,0.311,0.896,0.0,0.01,0.096,0.188,0.0
Hmga1,0.0,1.0,0.0,0.0,0.985,0.0,0.001,1.0,0.0,0.0,0.981,0.0,0.51,0.0,0.0,0.805,0.0,0.0,0.0,0.0,0.086,0.0
Gm5089,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8444,0.847,,0.925,,,0.792,,,0.38,1.0,,0.777,,0.104,0.126,,1.0,0.259,0.384,,,0.4
Olfr1310,0.699,1.0,0.225,0.008,0.78,0.0,0.069,1.0,0.006,0.064,0.558,0.002,,0.082,0.007,0.883,0.031,0.025,0.023,0.301,0.681,0.047
Ammecr1,0.0,1.0,0.02,0.001,0.641,0.046,0.002,1.0,0.102,0.012,0.849,0.184,0.305,0.005,0.165,0.778,0.0,0.0,0.021,0.016,0.998,0.016
Adam3,1.0,,0.999,,,0.881,,,0.933,0.786,,0.399,,0.303,0.255,,0.438,0.411,1.0,,,1.0
Gm13386,,,,,,,,,,1.0,,,,,,,,,,,,
Gm20911,,,,,,,,,,,,,,,,,,,,,,
Apba3,0.111,1.0,0.011,0.151,0.965,0.537,0.322,1.0,0.806,0.346,0.841,0.599,0.563,0.231,0.668,0.872,0.001,0.757,0.611,0.744,0.926,0.922
Mpig6b,0.92,,0.818,,,0.968,,,0.443,1.0,,0.823,,0.897,0.989,,0.471,0.991,0.739,,,0.299
Gm13456,0.791,1.0,0.993,0.533,0.949,0.756,0.463,1.0,0.663,0.696,0.993,0.584,,0.354,0.529,0.934,0.665,0.493,0.515,0.675,0.8,0.314
Csrp3,,,,,,0.884,,,,0.638,,0.872,,,0.457,,0.868,0.264,,,,
Sstr2,,,,,,,,,,1.0,,,,,,,,,,,,
Sppl2c,,,,,,,,,,1.0,,,,,,,,,,,,
Gm42417,0.736,1.0,0.868,0.796,0.92,0.942,0.66,1.0,0.791,1.0,0.941,0.989,,0.818,0.947,0.968,0.686,0.712,0.846,0.651,0.899,0.919
Gm5466,,,,,,,,,,1.0,,,,,,,,,,,,
Cela1,0.0,0.405,0.0,0.0,0.977,0.0,0.0,1.0,0.0,0.0,0.909,0.0,0.897,0.0,0.0,0.754,0.0,0.0,0.0,0.0,0.152,0.0
Mfsd2b,0.001,1.0,0.214,0.525,0.967,0.269,0.783,1.0,0.129,1.0,0.97,0.203,,0.631,0.009,0.743,0.545,0.166,0.047,0.389,0.837,0.155
Myrip,0.754,,0.801,,,0.257,,,0.265,1.0,,0.851,,0.986,0.432,,0.555,0.266,0.255,,,0.733
Dqx1,0.0,1.0,0.0,0.901,0.567,0.25,0.673,0.533,0.121,0.988,0.784,0.726,0.426,0.72,0.611,0.766,0.0,0.682,0.784,0.504,0.871,0.774
Gm10233,1.0,1.0,1.0,0.794,0.961,0.792,0.992,1.0,0.991,0.497,0.784,0.257,,0.587,0.559,0.864,1.0,1.0,1.0,1.0,1.0,1.0
Rab11fip2,0.076,1.0,0.0,0.0,0.326,0.0,0.001,0.989,0.0,0.0,0.972,0.0,0.032,0.0,0.0,0.893,0.0,0.0,0.0,0.0,0.65,0.0
Vmn1r219,,,,,,,,,,1.0,,,,,,,,,,,,
Gm44050,,,,,,0.136,,,,1.0,,0.436,,,0.447,,0.779,0.43,,,,
Slc25a14,0.002,0.891,0.307,0.013,0.862,0.0,0.002,1.0,0.0,0.003,0.753,0.0,0.139,0.002,0.0,0.876,0.856,0.0,0.0,0.0,0.799,0.0
Doxl2,,,,,,,,,,1.0,,,,,,,,,,,,
Gm5981,0.456,1.0,0.902,0.968,,0.276,0.783,1.0,0.512,0.956,,0.725,,0.822,0.476,,0.611,0.2,0.494,0.402,,0.654
Trbv24,0.063,1.0,0.129,0.001,0.926,0.003,0.207,1.0,0.32,0.577,0.893,0.468,,0.053,0.097,0.809,0.06,0.019,0.485,0.117,0.677,0.01
Gm42522,1.0,,1.0,,,0.555,,,0.812,1.0,,0.947,,0.922,0.945,,0.361,0.952,0.899,,,0.7
Ces1d,,,,,,,,,,1.0,,,,,,,,,,,,
Gm10324,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr358,,,,,,,,,,1.0,,,,,,,,,,,,
Slc30a7,0.723,0.967,0.024,0.002,0.754,0.267,0.048,1.0,0.815,0.014,0.989,0.417,0.157,0.069,0.905,0.989,0.393,0.947,0.775,0.522,0.823,0.84
Smarca2,0.0,1.0,0.0,0.0,0.968,0.0,0.0,1.0,0.0,0.0,0.987,0.0,0.331,0.0,0.0,0.888,0.0,0.0,0.0,0.0,0.42,0.0
Gm48136,,,,,,,,,,1.0,,,,,,,,,,,,
Gm45209,,,,,,,,,,1.0,,,,,,,,,,,,
Zfp759,0.64,1.0,0.43,0.099,0.585,0.177,1.0,1.0,0.81,1.0,0.911,0.883,,0.957,0.87,0.999,0.145,0.832,0.92,0.666,0.93,0.846
Gm28819,,,,,,,,,,1.0,,,,,,,,,,,,
Gm5250,,,,,,,,,,1.0,,,,,,,,,,,,
Tspan2,0.0,1.0,0.0,0.0,0.71,0.0,0.0,0.24,0.0,0.0,0.953,0.0,0.031,0.0,0.0,0.265,0.0,0.0,0.0,0.0,0.86,0.0
Lmtk3,0.663,,0.754,0.494,,0.073,0.367,,0.038,1.0,,0.429,,0.901,0.251,,1.0,0.021,0.159,0.009,,0.54
Gm13695,,,,,,,,,,1.0,,,,,,,,,,,,
Rsf1,0.001,1.0,0.109,0.014,0.634,0.0,0.051,1.0,0.0,0.015,0.306,0.0,0.275,0.262,0.007,0.744,0.097,0.026,0.003,0.101,0.978,0.126
Gm13198,,,,,,0.566,,,,0.786,,,,,,,,,,,,
Gm5313,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28597,,,,,,,,,,,,,,,,,,,,,,
Kbtbd11,0.157,0.566,0.003,0.0,0.837,0.0,0.0,0.971,0.0,0.0,0.568,0.0,0.298,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0
Trex1,0.474,1.0,0.189,0.0,0.718,0.0,0.0,1.0,0.0,0.0,0.621,0.0,0.051,0.0,0.0,0.743,0.07,0.0,0.0,0.0,0.407,0.0
Gm7155,,,,,,,,,,1.0,,,,,,,,,,,,
Yipf1,0.207,1.0,0.842,0.0,0.84,0.0,0.0,1.0,0.0,0.0,0.929,0.0,0.405,0.0,0.0,0.702,0.377,0.0,0.0,0.0,0.992,0.0
Rps16,0.163,1.0,0.633,0.0,0.901,0.0,0.0,0.926,0.0,0.0,0.765,0.0,0.074,0.0,0.0,0.696,0.936,0.005,0.002,0.013,0.433,0.0
4833439L19Rik,0.035,1.0,0.002,0.003,0.953,0.0,0.0,1.0,0.0,0.003,0.907,0.0,0.542,0.0,0.0,0.695,0.004,0.0,0.0,0.001,0.799,0.0
Smim7,0.886,1.0,0.036,0.245,0.813,0.001,0.582,1.0,0.009,0.369,0.847,0.001,0.123,0.489,0.005,1.0,0.002,0.038,0.001,0.022,0.798,0.006
Rbck1,0.499,1.0,0.663,0.869,0.972,0.262,0.354,0.796,0.772,0.642,0.981,0.012,0.26,0.938,0.22,0.846,0.494,0.397,0.054,0.005,0.119,0.638
Ulk1,0.84,1.0,0.014,0.702,0.891,0.114,0.869,0.961,0.065,0.791,0.774,0.002,0.081,0.714,0.008,0.638,0.04,0.017,0.001,0.094,0.871,0.237
Gm47333,,,,,,,,,,1.0,,,,,,,,,,,,
Fam234b,0.018,1.0,0.001,0.852,0.976,0.336,0.914,0.733,0.573,0.572,0.987,0.054,0.566,0.459,0.963,0.746,0.0,0.468,0.017,0.086,0.711,0.403
Arhgap5,0.551,1.0,0.734,0.006,0.913,0.013,0.057,1.0,0.102,0.022,0.978,0.025,0.864,0.021,0.041,0.89,0.135,0.078,0.007,0.053,0.843,0.172
Upb1,0.248,1.0,0.619,0.095,0.947,0.309,0.67,1.0,0.922,0.413,0.935,0.556,,0.415,0.106,0.963,0.687,0.577,0.937,0.952,0.392,0.177
Krtap5-3,,,,,,,,,,,,,,,,,,,,,,
Atp2a2,0.0,1.0,0.036,0.008,0.948,0.568,0.077,1.0,0.943,0.374,0.653,0.624,0.108,0.187,0.668,0.542,0.004,0.335,0.558,0.358,0.996,0.361
Mrpl36,0.871,0.981,0.011,0.838,0.987,0.01,0.719,1.0,0.021,1.0,0.977,0.006,0.023,0.811,0.013,0.987,0.0,0.016,0.001,0.002,0.715,0.01
Gm5798,,,,,,,,,,1.0,,,,,,,,,,,,
Fam131a,0.38,,0.944,0.721,,0.197,0.82,,0.598,0.614,,0.903,,0.623,0.81,,0.952,0.465,0.371,0.977,,0.844
Olfr1061,,,,,,,,,,1.0,,,,,,,,,,,,
Emc7,0.637,0.606,0.032,0.0,1.0,0.0,0.001,0.97,0.0,0.0,0.992,0.0,0.226,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.835,0.0
Zfp943,0.0,1.0,0.025,0.216,0.979,0.645,0.761,1.0,0.021,0.836,0.996,0.327,0.121,0.785,0.022,0.987,0.166,0.539,0.089,0.391,0.238,0.016
Gm42666,,,,,,,,,,1.0,,,,,,,,,,,,
Gm9176,,,,,,,,,,1.0,,,,,,,,,,,,
Hist1h2an,0.002,0.816,0.0,0.011,0.813,0.0,0.063,1.0,0.0,0.024,0.914,0.0,0.158,0.075,0.0,0.911,0.001,0.001,0.004,0.0,0.815,0.001
Arhgap32,0.723,0.587,0.72,0.004,0.92,0.078,0.048,1.0,0.345,0.589,0.984,0.943,,0.047,0.337,,0.175,0.26,0.074,0.83,,0.223
Gm9922,,,,,,,,,,1.0,,,,,,,,,,,,
Gm29575,,,,,,,,,,,,,,,,,,,,,,
Rapgef5,0.862,1.0,0.516,0.5,0.788,0.063,0.121,1.0,0.004,0.167,0.969,0.003,,0.05,0.001,0.816,0.571,0.002,0.002,0.001,0.568,0.02
Pik3c2b,0.132,1.0,0.653,0.315,0.793,0.941,0.517,0.878,0.087,0.572,0.981,0.92,,0.263,0.847,0.941,0.46,0.264,0.791,0.772,0.931,0.61
Gm6361,,,,,,,,,,,,,,,,,,,,,,
Gm8991,,,,,,,,,,0.864,,,,,,,,,,,,
Cbfa2t2,0.046,1.0,0.757,0.391,0.907,0.009,0.734,0.88,0.045,1.0,0.981,0.034,0.203,0.404,0.009,0.878,0.888,0.061,0.62,0.017,0.869,0.061
Fam172a,0.0,1.0,0.0,0.249,0.903,0.079,0.366,0.987,0.128,0.343,0.729,0.05,0.73,0.005,0.0,0.582,0.001,0.31,0.007,0.633,0.345,0.071
Eif3s6-ps1,,,,,,0.721,,,,1.0,,,,,,,,,,,,
Gm20869,,,,,,,,,,,,,,,,,,,,,,
Tal2,0.301,,0.89,1.0,,0.384,,,0.911,1.0,,0.51,,1.0,0.38,,0.324,0.396,0.503,0.397,,0.396
Gm45871,0.006,1.0,0.0,0.006,0.667,0.0,0.032,1.0,0.0,0.079,0.753,0.0,0.344,0.006,0.0,0.756,0.0,0.016,0.0,0.048,0.635,0.002
Twsg1,0.001,1.0,0.0,0.778,0.952,0.615,0.448,0.954,0.298,1.0,0.461,0.79,0.9,0.61,0.738,0.741,0.0,0.887,0.017,0.106,0.616,0.598
Ube2d2a,0.0,1.0,0.001,0.008,0.974,0.687,0.005,1.0,0.584,0.016,0.838,0.7,0.075,0.01,0.717,0.993,0.041,0.846,0.289,0.16,0.305,0.792
Gm21387,,,,,,,,,,,,,,,,,,,,,,
Csrnp2,0.0,1.0,0.0,0.0,0.967,0.0,0.0,1.0,0.0,0.0,0.681,0.0,0.712,0.0,0.0,0.433,0.0,0.0,0.0,0.0,0.017,0.0
Gm11617,,,,,,,,,,1.0,,,,,,,,,,,,
1700012B07Rik,0.832,,0.846,0.214,,0.05,0.406,,0.124,0.214,,0.02,,0.682,0.284,,1.0,0.984,0.047,0.017,,0.253
Kcna3,0.045,1.0,0.016,0.236,0.668,0.113,0.451,1.0,0.248,0.305,0.888,0.07,,0.653,0.405,0.604,0.015,0.001,0.126,0.006,0.897,0.021
Gm47647,,,,,,,,,,1.0,,,,,,,,,,,,
Cdhr3,,,,,,1.0,,,,1.0,,,,,,,,,,,,
Wipi2,0.449,1.0,0.433,0.477,0.983,0.468,0.857,1.0,0.849,0.226,0.969,0.111,1.0,0.163,0.148,0.952,0.194,0.398,0.458,0.25,0.806,0.077
Sorcs1,,,,,,,,,,1.0,,,,,,,,,,,,
Spata31,,,,,,,,,,1.0,,,,,,,,,,,,
Slc20a2,0.548,1.0,0.941,0.368,0.911,0.055,0.964,1.0,0.457,0.972,0.988,0.125,0.515,0.9,0.311,0.74,0.821,0.225,0.286,0.09,0.23,0.975
Gm12615,,,,,,,,,,1.0,,,,,,,,,,,,
Gm37044,,,,,,,,,,,,,,,,,,,,,,
Aldh8a1,0.778,,0.412,0.564,,0.535,0.985,,0.202,0.903,,0.589,,0.353,0.801,,1.0,0.957,0.596,0.642,,0.45
Gm11936,,,,,,,,,,,,,,,,,,,,,,
Rbmxl1,0.0,1.0,0.0,0.0,0.825,0.0,0.002,1.0,0.0,0.002,0.945,0.0,0.437,0.001,0.0,0.834,0.0,0.0,0.0,0.0,0.475,0.0
Olfr1156,0.374,1.0,0.174,0.03,1.0,0.007,0.166,1.0,0.058,0.195,0.945,0.033,0.795,0.002,0.0,0.721,0.264,0.008,0.021,0.126,0.693,0.022
Traj27,0.016,1.0,0.001,0.619,0.882,0.212,0.95,0.436,0.587,0.667,0.908,0.088,0.615,0.666,0.229,0.999,0.0,0.647,0.005,0.011,0.509,0.223
Gm9445,,,,,,,,,,1.0,,,,,,,,,,,,
Sgsm3,0.156,1.0,0.26,0.004,0.096,0.001,0.625,1.0,0.432,0.799,0.973,0.296,0.88,0.255,0.142,0.84,0.196,0.89,0.113,0.474,0.995,0.5
Mapk1ip1l,0.0,1.0,0.0,0.098,0.832,0.01,0.138,1.0,0.017,0.295,0.971,0.021,0.595,0.035,0.002,0.918,0.0,0.0,0.106,0.055,0.84,0.013
Tcaf3,,,,,,,,,,1.0,,,,,,,,,,,,
Klhl10,0.632,1.0,0.163,0.741,0.927,0.729,0.857,1.0,0.609,1.0,0.981,0.534,,0.886,0.581,0.928,0.343,0.39,0.849,0.706,0.915,0.884
Gm49342,0.905,0.814,0.018,0.0,0.964,0.0,0.0,1.0,0.0,0.0,0.967,0.0,0.033,0.0,0.0,0.966,0.0,0.0,0.0,0.0,,0.0
Lrrc74a,,,,,,,,,,1.0,,,,,,,,,,,,
Catsperg1,0.827,,0.545,0.484,,0.751,,,0.9,1.0,,0.844,,0.445,0.689,,0.972,0.794,0.983,0.72,,0.629
Pcdha3,,,,,,,,,,1.0,,,,,,,,,,,,
Ptger3,,,,,,,,,,1.0,,,,,,,,,,,,
Gm2395,0.647,,0.517,,,0.466,,,0.691,0.714,,0.497,,0.815,0.919,,0.865,0.825,0.842,,,0.933
Gm17780,,,,,,,,,,,,,,,,,,,,,,
Crygf,,,,,,,,,,1.0,,,,,,,,,,,,
Zfp128,0.373,1.0,0.31,0.021,0.92,0.013,0.002,1.0,0.001,0.029,0.821,0.009,,0.013,0.007,0.605,0.205,0.067,0.021,0.169,0.943,0.262
Lipi,,,,,,,,,,1.0,,,,,,,,,,,,
Glyr1,0.856,1.0,0.575,0.256,0.974,0.468,0.191,1.0,0.36,0.41,0.996,0.412,0.795,0.038,0.094,0.941,0.315,0.628,0.559,0.477,0.828,0.216
Gm7525,0.212,1.0,0.135,0.002,0.941,0.001,0.067,0.947,0.034,0.005,0.999,0.001,,0.021,0.009,,0.224,0.004,0.0,0.001,0.939,0.0
Gm21863,,,,,,,,,,1.0,,,,,,,,,,,,
Stkld1,0.34,,0.717,0.315,,0.677,0.409,,0.783,1.0,,0.78,,0.596,0.984,,0.895,0.98,0.462,0.825,,0.77
Gm18557,,,,,,,,,,,,,,,,,,,,,,
Nsun6,0.8,0.818,0.107,0.002,0.759,0.0,0.077,1.0,0.0,0.229,0.972,0.0,0.085,0.074,0.0,0.914,0.001,0.0,0.001,0.0,0.978,0.0
Gm5995,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11661,,,,,,,,,,1.0,,,,,,,,,,,,
Alpk1,0.8,1.0,0.75,0.408,,0.363,0.16,1.0,0.128,1.0,,0.703,,0.794,0.728,,0.7,0.795,0.365,0.976,,0.16
Gm3854,0.494,1.0,0.164,0.022,0.971,0.002,0.071,1.0,0.01,0.129,0.989,0.009,0.662,0.008,0.001,0.816,0.056,0.006,0.005,0.006,0.945,0.013
Mageh1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm17482,,,,,,,,,,,,,,,,,,,,,,
Rasal3,0.0,1.0,0.0,0.0,0.918,0.0,0.0,0.733,0.0,0.0,0.893,0.0,0.981,0.0,0.0,0.989,0.0,0.0,0.0,0.0,0.409,0.0
Taf7l2,,,,,,,,,,1.0,,,,,,,,,,,,
Pop7,0.062,1.0,0.606,0.697,0.991,0.001,0.768,1.0,0.002,0.814,0.972,0.0,0.031,0.881,0.004,0.998,0.081,0.002,0.001,0.001,0.831,0.003
Epas1,0.536,1.0,0.002,0.0,0.46,0.0,0.0,0.003,0.0,0.0,0.01,0.0,0.063,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.357,0.0
Trim30a,0.0,0.857,0.0,0.019,0.167,0.003,0.24,0.946,0.08,0.063,0.506,0.006,0.757,0.232,0.076,0.377,0.0,0.878,0.663,0.53,0.625,0.976
Gm30694,,,,,,,,,,1.0,,,,,,,,,,,,
Pate6,,,,,,,,,,1.0,,,,,,,,,,,,
Gm28413,,,,,,,,,,,,,,,,,,,,,,
Chst4,,,,,,,,,,1.0,,,,,,,,,,,,
Tmem174,,,,,,,,,,1.0,,,,,,,,,,,,
Pdzd2,0.0,1.0,0.0,0.598,0.967,0.755,0.995,1.0,0.346,1.0,0.745,0.66,0.45,0.856,0.506,0.873,0.0,0.571,0.419,0.483,0.674,0.947
Gm13640,,,,,,0.572,,,,0.827,,0.555,,,0.93,,0.535,0.796,,,,
Gm28446,,,,,,,,,,,,,,,,,,,,,,
Cdca4,0.02,1.0,0.0,0.0,0.954,0.0,0.001,1.0,0.0,0.0,0.877,0.0,0.466,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.711,0.0
Tmem44,0.0,1.0,0.001,0.015,0.92,0.004,0.006,1.0,0.001,0.147,0.799,0.026,0.82,0.001,0.0,0.891,0.0,0.025,0.001,0.347,0.179,0.002
Mrgprx2,,,,,,,,,,0.985,,,,,,,,,,,,
Gm12947,,,,,,,,,,1.0,,,,,,,,,,,,
Galnt5,,,,,,,,,,1.0,,,,,,,,,,,,
Arl2,0.149,1.0,0.001,0.965,0.881,0.175,0.045,0.943,0.622,0.875,0.972,0.533,0.235,0.381,0.694,0.918,0.0,0.586,0.545,0.359,0.453,1.0
Vmn1r-ps20,,,,,,,,,,,,,,,,,,,,,,
4921524L21Rik,,,,,,,,,,1.0,,,,,,,,,,,,
Il2,0.0,0.033,0.0,0.707,1.0,0.6,0.087,1.0,0.052,1.0,0.914,1.0,1.0,0.329,0.235,0.718,0.0,0.629,0.079,0.44,0.554,1.0
Olfr134,,,,,,,,,,1.0,,,,,,,,,,,,
Coa7,0.632,0.504,0.492,0.087,0.478,0.001,0.648,1.0,0.039,0.482,0.969,0.005,0.235,0.877,0.235,0.888,0.002,0.219,0.001,0.001,0.352,0.071
Gm28136,,,,,,,,,,1.0,,,,,,,,,,,,
Gm45717,,,,,,,,,,1.0,,,,,,,,,,,,
Gm8219,,,,,,,,,,1.0,,,,,,,,,,,,
Cpt1a,0.026,1.0,0.299,0.001,0.788,0.0,0.038,1.0,0.001,0.022,0.907,0.0,0.434,0.072,0.002,0.242,0.143,0.0,0.0,0.0,0.624,0.0
Gm9060,,,,,,,,,,1.0,,,,,,,,,,,,
Olfr25,,,,,,,,,,1.0,,,,,,,,,,,,
March6,0.98,0.538,0.854,0.19,0.788,0.332,0.47,1.0,0.671,0.399,0.981,0.361,0.837,0.26,0.411,0.767,0.092,0.027,0.574,0.263,0.7,0.07
Zfp810,0.298,1.0,0.25,0.082,0.855,0.551,0.081,1.0,0.578,0.097,0.969,0.687,0.039,0.049,0.72,0.836,0.124,0.143,0.164,0.469,0.903,0.278
Eif3f,0.028,1.0,0.232,0.008,0.991,0.093,0.015,1.0,0.132,0.011,0.914,0.071,0.53,0.023,0.178,0.987,0.129,0.116,0.088,0.01,0.561,0.146
Grsf1,0.0,1.0,0.0,0.209,0.856,0.751,0.036,0.732,0.276,0.058,0.917,0.248,0.477,0.727,0.667,0.987,0.0,0.709,0.663,0.667,0.67,0.764
Homer3,0.008,1.0,0.012,0.058,0.995,0.073,0.605,1.0,0.664,0.411,0.969,0.258,,0.652,0.709,0.749,0.015,0.066,0.215,0.472,0.781,0.167
Gm45245,,,,,,,,,,1.0,,,,,,,,,,,,
Plekhm2,0.471,1.0,0.027,0.257,0.911,0.009,0.06,0.802,0.001,0.302,0.911,0.004,0.306,0.346,0.015,0.884,0.015,0.059,0.099,0.038,0.913,0.084
Gm7542,,,,,,0.812,,,,1.0,,,,,,,,,,,,
Plk-ps1,,,,,,,,,,1.0,,,,,,,,,,,,
Gm32536,,,,,,,,,,1.0,,,,,,,,,,,,
Gm4373,,,,,,,,,,1.0,,,,,,,,,,,,
Gm11743,,,,,,,,,,1.0,,,,,,,,,,,,
Gm19761,,,,,,,,,,,,,,,,,,,,,,
Tex36,,,,,,,,,,1.0,,,,,,,,,,,,
Chek2,0.278,1.0,0.413,0.897,0.864,0.014,0.976,1.0,0.022,1.0,0.911,0.074,0.065,0.898,0.043,0.974,0.288,0.133,0.017,0.009,0.908,0.025
Gm11200,,,,,,,,,,1.0,,,,,,,,,,,,
Cd83,0.0,1.0,0.0,0.182,0.989,0.202,0.225,1.0,0.176,0.565,0.985,0.33,0.974,0.839,0.766,0.632,0.0,0.175,0.363,0.255,0.0,0.11
Cxcl15,,,,,,,,,,1.0,,,,,,,,,,,,
Lpcat3,0.0,1.0,0.001,0.526,0.952,0.794,0.523,1.0,0.778,0.229,0.932,0.254,0.796,0.984,0.759,0.98,0.0,0.547,0.636,0.613,0.573,0.887
Gm47724,,,,,,,,,,1.0,,,,,,,,,,,,
Ndufb5,0.22,1.0,0.304,0.866,0.972,0.004,0.599,1.0,0.063,1.0,0.954,0.009,0.034,0.734,0.037,0.888,0.02,0.002,0.004,0.002,0.824,0.006
Serinc4,,,,,,,,,,1.0,,,,,,,,,,,,
Gsdmc2,,,,,,,,,,1.0,,,,,,,,,,,,
