ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.0531,0.0866,0.0639,0.0548,0.0382,0.0323,0.0483,0.0474,0.0996,0.0528,0.1382,0.0692,0.0698,0.0443,0.0514,0.0514,0.0646,0.0577,0.0625,0.1047,0.0638,0.0813,0.0536,0.0591,0.047,0.044,0.0565,0.0532,0.0699,0.1004,0.0952
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.067,0.0949,0.076,0.0601,0.0463,0.038,0.0639,0.0594,0.1126,0.0675,0.165,0.0833,0.0769,0.0531,0.0644,0.0644,0.073,0.0689,0.0727,0.1139,0.0732,0.0977,0.0669,0.0681,0.0559,0.0538,0.0706,0.062,0.0811,0.1091,0.1026
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0264,0.0323,0.0217,0.0,0.0,0.0,0.0256,0.0338,0.0444,0.0235,0.0,0.1667,0.0,0.0238,0.0287,0.0287,0.0658,0.0385,0.0,0.0857,0.04,0.0,0.0278,0.04,0.038,0.0269,0.0286,0.04,0.0431,0.0938,0.0
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.0405,0.0871,0.0583,0.0584,0.046,0.0364,0.0402,0.0381,0.0923,0.0448,0.1447,0.0952,0.0811,0.0332,0.0398,0.0398,0.0611,0.0462,0.0682,0.0943,0.0404,0.0727,0.0408,0.0503,0.0366,0.0331,0.0501,0.0514,0.0628,0.0968,0.087
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.111,0.1646,0.109,0.1009,0.0652,0.0323,0.0952,0.0961,0.1517,0.1058,0.35,0.1562,0.1111,0.1261,0.1055,0.1055,0.0887,0.0918,0.1667,0.1591,0.1266,0.1639,0.1037,0.1,0.092,0.1008,0.1048,0.0785,0.1158,0.1538,0.1538
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.1669,0.1094,0.1059,0.0645,0.0,0.0,0.1212,0.1215,0.129,0.0962,0.05,0.0769,0.0,0.1081,0.1486,0.1486,0.0972,0.1446,0.0,0.0571,0.0385,0.087,0.1417,0.0633,0.0714,0.1271,0.1216,0.1026,0.1083,0.0323,0.0
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.0455,0.0883,0.0545,0.0533,0.0485,0.0366,0.0396,0.0379,0.0922,0.048,0.1287,0.0556,0.0789,0.0411,0.0435,0.0435,0.0542,0.0431,0.0517,0.1019,0.0584,0.0808,0.0447,0.0515,0.0389,0.0335,0.0472,0.0438,0.0598,0.0905,0.0625
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.0462,0.0932,0.0542,0.0468,0.0211,0.0164,0.0434,0.0397,0.096,0.055,0.1818,0.0781,0.027,0.0411,0.0446,0.0446,0.0509,0.0467,0.0682,0.1006,0.0377,0.0748,0.0448,0.0545,0.0366,0.0351,0.0549,0.0437,0.0688,0.1018,0.0769
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2017_PNAS_Li___STAT5B_IL2-CD8,0.0974,0.1345,0.1165,0.089,0.08,0.0541,0.0679,0.0873,0.1502,0.1016,0.2459,0.1538,0.0833,0.0973,0.0941,0.0941,0.1015,0.0989,0.1905,0.1667,0.1236,0.1529,0.0973,0.0884,0.0915,0.0938,0.1099,0.092,0.1199,0.1353,0.1304
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1124,0.1848,0.1351,0.1172,0.1429,0.0938,0.1212,0.1109,0.1758,0.134,0.2593,0.1591,0.1364,0.1267,0.1078,0.1078,0.1053,0.1236,0.2353,0.2,0.1781,0.1831,0.1192,0.1625,0.1245,0.1137,0.1436,0.1281,0.1451,0.1881,0.1
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0324,0.0976,0.0497,0.0478,0.0215,0.0169,0.0214,0.031,0.094,0.0412,0.1739,0.1186,0.0909,0.0293,0.0317,0.0317,0.0513,0.0406,0.0833,0.1224,0.0279,0.0519,0.0329,0.0417,0.023,0.0274,0.0427,0.0401,0.0652,0.1241,0.087
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0874,0.1712,0.0812,0.0667,0.0833,0.0556,0.0533,0.0871,0.1243,0.1145,0.25,0.1071,0.0,0.1325,0.0849,0.0849,0.0736,0.0783,0.2727,0.1449,0.0909,0.1509,0.0889,0.1343,0.1019,0.0906,0.0946,0.1282,0.1217,0.1429,0.0769
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0368,0.0828,0.0553,0.052,0.0397,0.0323,0.0414,0.0348,0.0953,0.0455,0.1429,0.0816,0.0714,0.0387,0.0356,0.0356,0.0524,0.0428,0.0526,0.102,0.0497,0.0756,0.0374,0.0531,0.0356,0.0312,0.0434,0.0429,0.0609,0.0979,0.075
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0327,0.0833,0.0475,0.0403,0.0273,0.0253,0.0335,0.0318,0.0854,0.0391,0.1485,0.087,0.05,0.0274,0.032,0.032,0.0517,0.039,0.0441,0.1152,0.0241,0.0509,0.0334,0.0456,0.0273,0.0285,0.0363,0.0418,0.0566,0.0926,0.1111
2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0322,0.0744,0.0483,0.0458,0.0373,0.0303,0.0282,0.0307,0.0882,0.0407,0.1163,0.0635,0.0714,0.0323,0.0312,0.0312,0.0437,0.0358,0.0471,0.0881,0.047,0.0654,0.033,0.0472,0.031,0.028,0.0371,0.0406,0.0521,0.076,0.0698
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1643,0.5118,0.3067,0.3296,0.2963,0.2879,0.1793,0.2065,0.392,0.2374,0.6463,0.4463,0.5952,0.2746,0.1642,0.1642,0.3364,0.2294,0.4124,0.6221,0.2791,0.3101,0.188,0.2975,0.2365,0.2294,0.2339,0.2814,0.3782,0.5869,0.8113
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0719,0.1005,0.1731,0.1914,0.1558,0.1087,0.0759,0.0776,0.1595,0.0548,0.16,0.0769,0.1379,0.0925,0.0744,0.0744,0.1232,0.1115,0.093,0.1508,0.1032,0.1429,0.0733,0.0828,0.0946,0.059,0.1385,0.0743,0.1243,0.1641,0.0909
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2411,0.4884,0.3534,0.3813,0.3388,0.3103,0.216,0.2482,0.4482,0.2651,0.624,0.4472,0.5897,0.306,0.243,0.243,0.3574,0.2904,0.3684,0.563,0.3077,0.3422,0.2452,0.3294,0.2638,0.2536,0.2913,0.3065,0.408,0.5625,0.6875
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.3201,0.5908,0.3984,0.4293,0.4412,0.3505,0.2936,0.329,0.4938,0.3506,0.7266,0.6014,0.5455,0.3891,0.3183,0.3183,0.4608,0.3569,0.5362,0.6691,0.3787,0.4072,0.3244,0.4002,0.3448,0.3464,0.3527,0.3844,0.5039,0.6875,0.7917
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.3474,0.6046,0.4316,0.4589,0.4417,0.3765,0.3385,0.3581,0.5216,0.3817,0.7179,0.6723,0.561,0.3845,0.3463,0.3463,0.4638,0.3809,0.5156,0.6783,0.3832,0.4301,0.3542,0.4317,0.3577,0.3724,0.3839,0.4013,0.535,0.6789,0.8043
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0247,0.0429,0.0422,0.0535,0.0152,0.0526,0.0181,0.0266,0.0424,0.0303,0.051,0.0549,0.08,0.0316,0.0261,0.0261,0.0359,0.0344,0.0,0.0508,0.0292,0.0385,0.0273,0.0304,0.0347,0.0222,0.0299,0.0504,0.0403,0.0462,0.0682
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2247,0.3631,0.3813,0.3584,0.3482,0.3143,0.2063,0.2328,0.4192,0.2201,0.3884,0.313,0.5897,0.2358,0.2253,0.2253,0.354,0.299,0.2879,0.4232,0.2711,0.3436,0.2307,0.3023,0.2576,0.2209,0.2885,0.2583,0.3443,0.4426,0.383
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1781,0.2678,0.3054,0.2936,0.2386,0.1964,0.1413,0.1886,0.3456,0.1916,0.3366,0.2396,0.4483,0.1994,0.1803,0.1803,0.2591,0.2285,0.2093,0.3029,0.2515,0.3,0.187,0.2336,0.1907,0.1741,0.2419,0.2134,0.2663,0.2573,0.25
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0344,0.0532,0.0492,0.0372,0.0588,0.0256,0.023,0.0362,0.0779,0.0375,0.0303,0.0549,0.0,0.0282,0.0344,0.0344,0.0426,0.0333,0.0,0.0404,0.0441,0.0577,0.035,0.039,0.0398,0.0394,0.0705,0.0254,0.0483,0.0308,0.0455
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2401,0.4848,0.3579,0.3519,0.3333,0.2903,0.2033,0.2503,0.4534,0.2695,0.6116,0.416,0.575,0.2985,0.2417,0.2417,0.3609,0.2839,0.32,0.5777,0.3149,0.323,0.2448,0.3142,0.2619,0.2513,0.2868,0.3032,0.3988,0.5486,0.6087
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2188,0.3961,0.3396,0.3442,0.3193,0.2763,0.1947,0.2356,0.4156,0.2456,0.4576,0.2906,0.6216,0.2421,0.2187,0.2187,0.3192,0.2817,0.3492,0.4758,0.2786,0.3065,0.2249,0.2996,0.2609,0.239,0.2901,0.2697,0.3486,0.435,0.3878
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2017_PNAS_Li___STAT5B_IL2-CD8,0.262,0.4066,0.3294,0.4017,0.3735,0.3962,0.2388,0.2734,0.4056,0.3186,0.5096,0.42,0.6,0.3084,0.2624,0.2624,0.3039,0.2861,0.3125,0.5138,0.3438,0.3657,0.2738,0.4084,0.2828,0.2792,0.2978,0.3338,0.3908,0.5023,0.4667
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.243,0.3474,0.3265,0.3739,0.2048,0.2727,0.2379,0.2474,0.4176,0.273,0.4608,0.3854,0.4688,0.3043,0.2419,0.2419,0.3061,0.2668,0.3721,0.4481,0.3137,0.3307,0.2498,0.3158,0.2212,0.2519,0.2819,0.2896,0.3516,0.4098,0.4091
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1718,0.37,0.2839,0.3077,0.25,0.2179,0.1651,0.1911,0.3032,0.2067,0.3846,0.265,0.3939,0.2218,0.174,0.174,0.2265,0.2186,0.2222,0.3859,0.2263,0.2667,0.18,0.2387,0.2157,0.1955,0.1879,0.2486,0.2882,0.3184,0.3542
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1169,0.188,0.2,0.2227,0.1026,0.125,0.1186,0.1271,0.222,0.1203,0.2353,0.2283,0.2414,0.15,0.1186,0.1186,0.163,0.1431,0.2093,0.24,0.1438,0.2066,0.1193,0.1513,0.136,0.1091,0.1613,0.1369,0.1784,0.245,0.2
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2479,0.4864,0.3525,0.3976,0.3643,0.3367,0.2357,0.2555,0.4317,0.2781,0.6202,0.4242,0.5581,0.3092,0.2456,0.2456,0.3737,0.2891,0.3882,0.6081,0.3324,0.3856,0.2498,0.3316,0.2981,0.2609,0.2867,0.3119,0.4007,0.5815,0.66
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2264,0.4394,0.343,0.3423,0.3206,0.2747,0.2108,0.2334,0.4057,0.2355,0.5391,0.3788,0.6,0.2373,0.224,0.224,0.3495,0.2757,0.3293,0.5336,0.2747,0.3333,0.2271,0.304,0.2625,0.2354,0.2738,0.2775,0.3641,0.5283,0.6
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2399,0.5033,0.341,0.3602,0.3356,0.2925,0.2098,0.2445,0.4164,0.263,0.6544,0.5,0.5227,0.2836,0.2373,0.2373,0.3532,0.2707,0.3956,0.6179,0.3069,0.3407,0.2398,0.3251,0.2722,0.2504,0.2721,0.3032,0.4003,0.586,0.72
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.1995,0.5733,0.3805,0.3773,0.3349,0.3556,0.2152,0.2481,0.4817,0.28,0.7192,0.4659,0.6047,0.3173,0.2015,0.2015,0.4108,0.2815,0.433,0.7033,0.2795,0.327,0.2294,0.3534,0.256,0.2597,0.2782,0.3342,0.4495,0.6405,0.8113
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0671,0.0918,0.1607,0.1897,0.1765,0.1636,0.0739,0.073,0.1505,0.05,0.1364,0.0638,0.1667,0.0841,0.0676,0.0676,0.1149,0.1087,0.1136,0.1333,0.1667,0.1613,0.069,0.0708,0.1028,0.0568,0.1331,0.0735,0.1124,0.1449,0.0909
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.2697,0.5083,0.4223,0.4243,0.373,0.3656,0.2664,0.281,0.5263,0.2928,0.6693,0.4634,0.561,0.3242,0.2718,0.2718,0.3869,0.3376,0.4324,0.6145,0.3248,0.3717,0.2768,0.358,0.2853,0.2695,0.3232,0.3399,0.4578,0.5894,0.6531
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.3802,0.6579,0.4915,0.4899,0.4892,0.4545,0.3339,0.3898,0.5946,0.4097,0.7692,0.6159,0.6279,0.4245,0.3803,0.3803,0.5379,0.4252,0.5429,0.7582,0.3967,0.45,0.3866,0.4679,0.3787,0.3877,0.4248,0.4385,0.5856,0.7647,0.7551
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.3945,0.658,0.5131,0.5014,0.472,0.4286,0.3792,0.4078,0.6048,0.4291,0.7647,0.675,0.65,0.4268,0.3943,0.3943,0.5296,0.4405,0.5231,0.7386,0.4081,0.4715,0.4042,0.4768,0.3775,0.4063,0.4293,0.4595,0.5978,0.724,0.766
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0229,0.038,0.0306,0.0419,0.0,0.0,0.0185,0.0248,0.0364,0.0266,0.0467,0.0426,0.0357,0.0244,0.0243,0.0243,0.0354,0.0341,0.0,0.0448,0.0284,0.0175,0.0263,0.0221,0.0336,0.0235,0.0315,0.0415,0.0363,0.0423,0.0682
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2409,0.3611,0.4073,0.3844,0.3613,0.3636,0.205,0.251,0.4591,0.2374,0.3828,0.3077,0.6842,0.2491,0.2417,0.2417,0.3598,0.3255,0.3385,0.4358,0.2764,0.35,0.2492,0.3165,0.2682,0.2321,0.3197,0.2916,0.37,0.4395,0.383
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,0.1817,0.2674,0.3175,0.2716,0.25,0.2308,0.1693,0.1947,0.3429,0.193,0.3211,0.2222,0.4194,0.2028,0.1847,0.1847,0.2642,0.2355,0.1739,0.2969,0.284,0.2913,0.1908,0.2395,0.2102,0.1752,0.2442,0.2192,0.2595,0.2824,0.25
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2016_SCIENCE_Mackay___Hobit_invitro-CD8,0.0263,0.0496,0.0438,0.0423,0.0641,0.0192,0.0149,0.0273,0.0652,0.0249,0.0374,0.0538,0.0,0.0214,0.0261,0.0261,0.03,0.0306,0.0,0.0404,0.0282,0.0442,0.0271,0.0332,0.0258,0.0293,0.0524,0.028,0.0442,0.033,0.0455
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,0.2651,0.4883,0.4206,0.4005,0.3664,0.4,0.2404,0.2805,0.5116,0.2919,0.6585,0.3876,0.5854,0.3221,0.2677,0.2677,0.3803,0.3255,0.3836,0.6107,0.3279,0.3644,0.2732,0.3503,0.2828,0.2661,0.3196,0.3437,0.4433,0.5698,0.6087
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,0.2379,0.41,0.3905,0.3408,0.3125,0.2941,0.2188,0.2582,0.462,0.2637,0.521,0.319,0.5897,0.2371,0.2396,0.2396,0.3447,0.3188,0.3182,0.5312,0.2744,0.2872,0.2478,0.311,0.2706,0.2472,0.3113,0.2988,0.3891,0.4549,0.36
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2017_PNAS_Li___STAT5B_IL2-CD8,0.2551,0.4039,0.3424,0.392,0.3587,0.3385,0.2216,0.2706,0.4278,0.3084,0.4821,0.4118,0.5625,0.3018,0.2561,0.2561,0.312,0.2904,0.3265,0.5214,0.3519,0.3942,0.2692,0.4142,0.2887,0.2706,0.2916,0.3226,0.3853,0.5294,0.4348
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.2345,0.3432,0.3322,0.3833,0.2333,0.3387,0.2516,0.2425,0.4023,0.2601,0.4234,0.35,0.5312,0.2941,0.2334,0.2334,0.2934,0.2614,0.3261,0.4231,0.3667,0.3937,0.2435,0.2973,0.2399,0.2427,0.2597,0.2729,0.3205,0.3955,0.4091
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1928,0.3752,0.3355,0.3178,0.2388,0.2706,0.1836,0.2167,0.3415,0.2342,0.437,0.2712,0.4118,0.2593,0.1962,0.1962,0.2699,0.2572,0.2154,0.4062,0.2409,0.2439,0.2061,0.2669,0.2283,0.2088,0.2096,0.2898,0.3206,0.3425,0.3265
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1121,0.178,0.1955,0.2391,0.1548,0.1964,0.1174,0.1212,0.2004,0.1143,0.25,0.2234,0.1875,0.1484,0.1135,0.1135,0.1548,0.138,0.2273,0.2232,0.1933,0.2419,0.1162,0.1336,0.152,0.1041,0.1505,0.1329,0.1651,0.2419,0.2
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.2768,0.5164,0.4163,0.3986,0.3931,0.44,0.2591,0.2882,0.5066,0.3018,0.6391,0.4286,0.6047,0.3304,0.2764,0.2764,0.416,0.3402,0.4118,0.6548,0.3441,0.3958,0.2839,0.3668,0.3008,0.2813,0.3259,0.3496,0.4604,0.63,0.66
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.2532,0.4594,0.3976,0.3489,0.3333,0.3438,0.2359,0.2648,0.4849,0.2558,0.5846,0.3835,0.65,0.2635,0.2527,0.2527,0.3903,0.3274,0.3537,0.5776,0.256,0.3223,0.2585,0.3234,0.2714,0.2477,0.3084,0.3111,0.4131,0.5667,0.6
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.2727,0.5415,0.411,0.3937,0.3816,0.4019,0.2441,0.2806,0.508,0.296,0.6957,0.5034,0.6047,0.317,0.2724,0.2724,0.4177,0.323,0.4176,0.6632,0.3245,0.3553,0.2783,0.3648,0.2791,0.2712,0.3152,0.3443,0.4594,0.6263,0.72
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,0.3003,0.674,0.5523,0.5201,0.4751,0.5401,0.3462,0.3735,0.6116,0.4035,0.7329,0.6171,0.7333,0.4321,0.3052,0.3052,0.5441,0.4211,0.5204,0.8167,0.4187,0.4688,0.3442,0.4782,0.3898,0.3815,0.4215,0.4693,0.5818,0.7738,0.8302
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,0.0577,0.0828,0.1514,0.1795,0.1638,0.1646,0.0824,0.0626,0.1326,0.0486,0.1545,0.0593,0.1892,0.0784,0.0578,0.0578,0.1075,0.0917,0.0926,0.1245,0.1571,0.1779,0.0596,0.0634,0.1022,0.0471,0.1101,0.0601,0.0991,0.136,0.0889
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,0.3403,0.5659,0.559,0.5452,0.4545,0.5347,0.3641,0.3681,0.5896,0.368,0.685,0.5414,0.7381,0.4152,0.3441,0.3441,0.4795,0.4473,0.4684,0.6679,0.4458,0.4855,0.3603,0.4353,0.4067,0.3554,0.414,0.4458,0.5487,0.6679,0.6735
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,0.5025,0.747,0.6638,0.6466,0.669,0.6699,0.4877,0.5265,0.7208,0.5436,0.7984,0.7714,0.7955,0.5686,0.5039,0.5039,0.684,0.5714,0.7101,0.8556,0.5559,0.6026,0.5184,0.5794,0.533,0.5118,0.5665,0.5874,0.6868,0.8315,0.7755
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,0.4743,0.6972,0.6451,0.651,0.6718,0.6122,0.4757,0.5038,0.7014,0.5269,0.7667,0.7385,0.7442,0.5434,0.4761,0.4761,0.6477,0.5475,0.7031,0.8059,0.566,0.566,0.4916,0.5596,0.5185,0.5017,0.5402,0.5819,0.6544,0.7803,0.7872
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,0.0216,0.0346,0.0366,0.0429,0.0089,0.0253,0.0231,0.0237,0.0346,0.0273,0.0459,0.0424,0.0556,0.0217,0.0227,0.0227,0.03,0.0307,0.0,0.043,0.029,0.025,0.025,0.0245,0.0375,0.0214,0.029,0.0384,0.0309,0.044,0.0667
2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,0.2939,0.4035,0.5063,0.4579,0.4701,0.4457,0.2841,0.3199,0.5159,0.2967,0.3984,0.3485,0.7381,0.3149,0.2969,0.2969,0.4088,0.4105,0.3857,0.4816,0.3783,0.4455,0.3135,0.3849,0.3867,0.3021,0.375,0.3721,0.4319,0.4721,0.375
